"row ID","Industry","Companies","Period","Average_Revenue_Growth","STD_Revenue_Growth","Average_Current_Ratio","STD_Current_Ratio","Average_Gross_Margin","STD_Gross_Margin","Average_Net_Margin","STD_Net_Margin","Average_ROI","STD_ROI","Average_ROE","STD_ROE","Average_Receivable_Turnover","STD_Receivable_Turnover","Average_Collection_Period","STD_Collection_Period","Average_Asset_Turnover","STD_Asset_Turnover","Cluster"
"1","Accident &Health Insurance",8,"13-14",0.0,0.0,0.0,0.0,32.526,9.127,9.049,4.976,1.232,1.733,0.601,0.717,9.705,11.008,119.27,108.36,6.614,7.726,"cluster_2"
"2","Advertising",8,"13-14",0.0,0.0,2.263,1.396,66.3,28.842,-7.877,18.904,0.126,0.435,-0.025,0.287,3.17,1.083,133.254,65.36,2.235,2.664,"cluster_6"
"3","Aerospace",9,"13-14",0.0,0.0,2.775,2.665,30.573,21.386,13.575,15.061,0.383,0.387,0.375,0.632,13.043,13.867,43.503,20.198,3.861,4.022,"cluster_2"
"4","Agricultural Chemicals",13,"13-14",0.0,0.0,3.384,3.753,37.367,12.128,8.693,36.831,0.729,0.846,0.257,0.306,12.068,11.357,58.669,45.026,3.304,3.161,"cluster_0"
"5","Air Freight/Delivery Services",12,"13-14",0.0,0.0,1.156,1.704,42.38,14.767,3.129,6.131,0.298,0.261,0.367,0.598,17.16,8.069,27.45,15.515,5.157,4.243,"cluster_3"
"6","Aluminum",2,"13-14",0.0,0.0,1.151,0.767,3.666,4.552,-6.995,7.116,-0.233,0.351,-0.503,0.142,19.953,9.522,20.643,9.851,4.194,4.477,"cluster_5"
"7","Apparel",12,"13-14",0.0,0.0,3.353,1.371,45.012,19.091,7.035,10.066,0.167,0.17,0.207,0.22,9.676,2.96,46.181,33.878,1.773,1.845,"cluster_3"
"8","Auto Manufacturing",10,"13-14",0.0,0.0,1.476,0.624,25.311,27.082,3.493,4.523,1.903,1.994,1.853,3.924,15.422,12.215,37.438,24.137,42.181,42.625,"cluster_7"
"9","Auto Parts:O.E.M.",23,"13-14",0.0,0.0,1.9,0.65,18.986,9.124,3.437,4.289,0.207,0.425,0.263,0.572,7.162,3.363,57.123,16.736,3.035,4.643,"cluster_8"
"10","Automotive Aftermarket",16,"13-14",0.0,0.0,1.645,0.582,17.512,8.558,2.418,2.04,0.139,0.168,0.178,0.062,48.004,38.194,30.626,67.3,3.951,2.815,"cluster_9"
"11","Banks",2,"13-14",0.0,0.0,0.0,0.0,92.263,0.295,19.499,8.847,0.124,0.164,0.066,0.025,4.738,0.0,77.044,0.0,0.214,0.247,"cluster_1"
"12","Beverages (Production/Distribution)",14,"13-14",0.0,0.0,1.401,0.554,41.522,15.133,8.828,3.965,0.52,0.468,0.656,1.089,8.366,3.312,53.012,27.321,3.525,3.191,"cluster_3"
"13","Biotechnology: Commercial Physical & Biological Resarch",3,"13-14",0.0,0.0,2.396,1.151,45.595,24.373,-32.449,70.431,0.045,0.172,-0.176,0.35,4.094,1.421,99.071,42.842,0.822,0.772,"cluster_3"
"14","Biotechnology: Electromedical & Electrotherapeutic Apparatus",2,"13-14",0.0,0.0,1.772,0.43,56.64,19.74,15.53,3.243,0.652,0.677,0.245,0.008,3.644,0.126,100.224,3.463,3.208,3.253,"cluster_4"
"15","Biotechnology: In Vitro & In Vivo Diagnostic Substances",1,"13-14",0.0,0.0,2.376,0.0,47.087,0.0,-1.458,0.0,0.015,0.0,-0.02,0.0,4.473,0.0,81.592,0.0,0.388,0.0,"cluster_3"
"16","Biotechnology: Laboratory Analytical Instruments",4,"13-14",0.0,0.0,2.947,1.719,53.069,5.782,11.61,7.813,0.117,0.088,0.204,0.195,5.024,0.518,73.205,7.066,0.736,0.34,"cluster_4"
"17","Books",1,"13-14",0.0,0.0,1.337,0.0,54.829,0.0,9.645,0.0,0.392,0.0,0.079,0.0,3.72,0.0,98.118,0.0,4.277,0.0,"cluster_4"
"18","Broadcasting",10,"13-14",0.0,0.0,2.755,0.845,59.77,21.739,8.722,9.24,0.272,0.477,0.102,0.121,4.267,1.369,96.249,38.835,1.152,1.554,"cluster_4"
"19","Building Materials",6,"13-14",0.0,0.0,1.81,0.901,26.012,6.089,7.477,7.861,0.162,0.152,-0.065,0.699,8.246,1.421,45.506,8.713,2.063,3.201,"cluster_7"
"20","Building operators",3,"13-14",0.0,0.0,0.0,0.0,85.905,24.413,7.656,13.376,1.932,3.307,0.617,1.06,3.671,1.499,109.286,36.23,5.468,9.304,"cluster_1"
"21","Building Products",5,"13-14",0.0,0.0,2.204,0.718,-13.333,91.862,-19.304,53.237,0.037,0.116,0.078,0.101,6.91,3.874,62.298,21.793,0.86,0.483,"cluster_5"
"22","Business Services",32,"13-14",0.0,0.0,1.534,0.967,52.932,25.954,12.04,11.187,0.349,0.696,0.275,0.473,8.435,15.923,117.191,165.771,1.522,1.748,"cluster_4"
"23","Catalog/Specialty Distribution",4,"13-14",0.0,0.0,1.655,0.327,25.195,9.743,-4.131,6.677,-0.13,0.174,-0.237,0.452,200.961,252.29,14.142,17.377,2.816,1.159,"cluster_7"
"24","Clothing/Shoe/Accessory Stores",22,"13-14",0.0,0.0,2.151,0.524,37.32,9.885,4.567,5.247,0.251,0.683,2.705,12.337,60.895,41.754,15.002,19.889,2.926,5.22,"cluster_0"
"25","Coal Mining",10,"13-14",0.0,0.0,1.21,0.207,45.733,37.934,13.857,26.932,0.728,1.823,0.147,0.35,9.684,3.42,43.133,17.967,5.229,10.899,"cluster_3"
"26","Commercial Banks",23,"13-14",0.0,0.0,0.0,0.0,92.285,12.228,13.319,16.879,2.8,3.618,0.878,2.169,121.808,317.914,54.58,59.497,7.292,10.308,"cluster_1"
"27","Computer Communications Equipment",4,"13-14",0.0,0.0,2.655,1.414,58.608,20.314,-14.579,25.628,-0.046,0.155,0.099,0.433,4.515,1.497,87.857,28.395,0.645,0.259,"cluster_4"
"28","Computer Manufacturing",4,"13-14",0.0,0.0,1.372,0.208,41.506,13.6,8.255,5.788,5.99,8.17,3.071,4.777,26.759,28.26,35.748,34.906,47.209,54.719,"cluster_3"
"29","Computer peripheral equipment",3,"13-14",0.0,0.0,1.922,1.462,73.406,5.215,-13.2,13.99,-0.013,0.054,0.474,1.101,5.358,1.228,70.383,14.892,0.703,0.226,"cluster_6"
"30","Computer Software: Prepackaged Software",35,"13-14",0.0,0.0,3.006,2.511,70.199,12.891,-10.793,25.076,0.007,0.298,-0.06,0.523,6.137,4.884,81.04,42.05,0.933,1.143,"cluster_6"
"31","Computer Software: Programming, Data Processing",11,"13-14",0.0,0.0,2.974,2.83,71.484,13.542,-2.218,18.756,0.049,0.159,-0.01,0.227,8.549,11.538,100.378,102.213,0.552,0.364,"cluster_6"
"32","Construction/Ag Equipment/Trucks",7,"13-14",0.0,0.0,1.841,0.785,22.946,8.405,5.338,3.715,0.239,0.229,0.473,0.765,12.577,8.455,40.174,23.358,2.878,2.48,"cluster_8"
"33","Consumer Electronics/Appliances",7,"13-14",0.0,0.0,1.288,0.687,27.221,9.032,1.857,6.461,0.353,0.538,0.251,0.862,5.401,0.99,69.444,11.878,10.811,18.616,"cluster_7"
"34","Consumer Electronics/Video Chains",2,"13-14",0.0,0.0,0.843,0.978,25.439,4.26,-1.589,6.57,0.378,0.835,-0.259,0.716,47.126,22.077,8.7,4.076,15.498,15.476,"cluster_7"
"35","Consumer Specialties",4,"13-14",0.0,0.0,4.551,2.337,45.11,13.294,7.447,3.584,0.227,0.21,0.127,0.035,7.859,4.64,59.864,33.391,2.602,3.382,"cluster_3"
"36","Consumer: Greeting Cards",1,"13-14",0.0,0.0,6.554,0.0,32.488,0.0,5.416,0.0,0.086,0.0,0.063,0.0,6.743,0.0,54.133,0.0,1.012,0.0,"cluster_2"
"37","Containers/Packaging",8,"13-14",0.0,0.0,1.547,0.694,21.491,5.888,3.696,3.789,0.282,0.548,0.44,0.678,7.648,1.063,48.573,7.039,2.666,4.063,"cluster_8"
"38","Department/Specialty Retail Stores",11,"13-14",0.0,0.0,1.484,0.509,33.077,6.56,2.554,3.082,1.771,3.893,0.036,0.832,83.353,54.195,11.72,16.138,28.966,69.761,"cluster_2"
"39","Diversified Commercial Services",16,"13-14",0.0,0.0,1.026,0.74,71.81,30.291,12.462,10.189,0.166,0.183,-2.162,9.157,27.24,61.783,51.862,33.746,1.016,0.946,"cluster_6"
"40","Diversified Financial Services",2,"13-14",0.0,0.0,0.0,0.0,63.184,34.947,10.974,0.238,0.164,0.283,0.572,0.735,4.27,5.127,306.281,367.761,1.035,1.224,"cluster_6"
"41","EDP Services",32,"13-14",0.0,0.0,2.894,2.718,50.947,21.819,-8.077,49.282,0.039,0.598,-0.085,0.516,6.636,5.127,75.542,39.782,1.454,2.371,"cluster_4"
"42","Electric Utilities: Central",59,"13-14",0.0,0.0,1.109,0.549,39.159,18.745,7.958,9.367,0.432,0.659,0.318,0.623,7.354,6.377,70.802,71.989,2.299,4.562,"cluster_0"
"43","Electrical Products",14,"13-14",0.0,0.0,3.817,2.349,24.742,12.671,6.116,5.378,0.135,0.239,0.196,0.41,8.609,7.315,55.173,20.572,1.641,2.14,"cluster_7"
"44","Electronic Components",8,"13-14",0.0,0.0,1.99,0.865,34.354,21.15,-20.733,50.729,0.291,0.603,-0.593,1.902,5.042,0.822,74.133,12.433,7.565,9.463,"cluster_2"
"45","Electronics Distribution",0,"13-14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cluster_5"
"46","Engineering & Construction",7,"13-14",0.0,0.0,1.836,0.889,17.89,4.651,3.472,2.223,0.083,0.047,0.106,0.058,5.513,3.318,78.228,24.253,1.489,0.471,"cluster_9"
"47","Environmental Services",6,"13-14",0.0,0.0,1.237,0.492,43.96,28.854,6.139,4.148,0.317,0.416,0.101,0.079,6.432,2.508,71.92,50.162,2.327,2.531,"cluster_3"
"48","Farming/Seeds/Milling",9,"13-14",0.0,0.0,2.22,1.614,22.296,11.013,3.71,8.025,0.703,1.267,-6.44,19.844,10.916,8.919,60.909,48.745,4.128,7.29,"cluster_8"
"49","Finance Companies",1,"13-14",0.0,0.0,0.0,0.0,100.0,0.0,17.528,0.0,0.171,0.0,0.088,0.0,1.875,0.0,194.683,0.0,0.192,0.0,"cluster_1"
"50","Finance/Investors Services",0,"13-14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cluster_5"
"51","Finance: Consumer Services",32,"13-14",0.0,0.0,1.893,2.068,92.345,16.624,-20.364,128.356,0.748,1.438,0.088,1.323,7.392,6.846,363.747,1098.047,2.228,4.523,"cluster_1"
"52","Fluid Controls",7,"13-14",0.0,0.0,2.62,1.097,36.727,10.834,9.388,5.789,0.107,0.073,0.181,0.12,5.136,1.547,75.449,17.594,0.742,0.147,"cluster_0"
"53","Food Chains",11,"13-14",0.0,0.0,2.314,1.987,24.752,7.208,2.202,4.392,0.229,0.326,0.42,1.064,56.846,46.895,12.144,11.002,7.828,10.744,"cluster_7"
"54","Food Distributors",1,"13-14",0.0,0.0,0.122,0.0,17.567,0.0,1.411,0.0,0.702,0.0,0.131,0.0,13.954,0.0,26.157,0.0,27.061,0.0,"cluster_9"
"55","Forest Products",7,"13-14",0.0,0.0,2.502,1.399,21.708,10.095,2.755,6.616,0.076,0.129,0.158,0.438,10.703,6.631,41.492,14.712,1.144,0.476,"cluster_8"
"56","General Bldg Contractors - Nonresidential Bldgs",1,"13-14",0.0,0.0,1.82,0.0,11.251,0.0,2.403,0.0,0.062,0.0,0.079,0.0,2.02,0.0,180.689,0.0,1.191,0.0,"cluster_9"
"57","Home Furnishings",10,"13-14",0.0,0.0,1.932,0.565,36.919,12.121,6.727,7.763,0.122,0.056,0.199,0.151,21.532,22.536,36.282,23.07,1.32,0.482,"cluster_0"
"58","Homebuilding",26,"13-14",0.0,0.0,1.993,0.404,23.922,14.084,7.017,14.497,0.11,0.161,0.004,0.558,21.911,32.722,61.168,80.374,1.083,1.212,"cluster_7"
"59","Hospital/Nursing Management",15,"13-14",0.0,0.0,1.453,0.471,70.573,34.864,2.243,5.697,0.283,0.488,-0.117,0.652,11.086,14.816,59.117,25.73,3.204,3.643,"cluster_6"
"60","Hotels/Resorts",17,"13-14",0.0,0.0,1.277,0.921,54.418,21.426,2.348,12.944,0.231,0.454,0.053,0.235,20.858,22.09,53.717,94.06,1.259,1.773,"cluster_4"
"61","Industrial Machinery/Components",63,"13-14",0.0,0.0,2.56,1.726,35.743,13.985,-26.181,255.094,0.247,0.364,0.531,3.092,5.405,1.979,97.743,152.388,2.225,2.776,"cluster_0"
"62","Industrial Specialties",12,"13-14",0.0,0.0,2.604,1.26,35.628,19.87,6.883,10.419,0.153,0.215,0.211,0.324,7.087,2.571,56.862,18.019,2.237,3.451,"cluster_0"
"63","Integrated oil Companies",23,"13-14",0.0,0.0,1.357,0.776,17.946,16.18,4.452,4.55,12.189,46.866,11.531,62.268,54.129,60.812,16.923,17.777,33.307,51.121,"cluster_9"
"64","Investment Bankers/Brokers/Service",18,"13-14",0.0,0.0,0.0,0.0,100.0,0.0,9.333,7.913,0.344,0.551,0.207,0.318,3.905,3.191,179.405,143.944,1.214,1.36,"cluster_1"
"65","Investment Managers",24,"13-14",0.0,0.0,2.946,1.651,97.699,6.705,17.412,13.564,0.387,0.453,0.118,0.675,6.958,6.152,80.219,56.005,1.078,1.657,"cluster_1"
"66","Life Insurance",30,"13-14",0.0,0.0,0.0,0.0,35.133,20.928,3.763,8.374,0.357,0.493,0.342,0.616,26.902,46.089,143.758,307.347,6.245,5.492,"cluster_0"
"67","Major Banks",58,"13-14",0.0,0.0,1.538,0.668,92.401,16.837,15.76,12.455,2.046,3.781,0.548,1.336,54.678,228.112,43.195,70.062,5.939,11.104,"cluster_1"
"68","Major Chemicals",44,"13-14",0.0,0.0,2.8,1.663,19.86,49.265,-61.683,463.415,0.266,0.461,0.161,0.514,8.31,7.383,76.934,118.963,2.246,3.508,"cluster_8"
"69","Major Pharmaceuticals",24,"13-14",0.0,0.0,2.606,1.962,63.588,17.234,6.493,44.086,1.285,2.716,0.532,0.74,8.49,10.619,79.515,41.079,6.535,11.904,"cluster_6"
"70","Marine Transportation",49,"13-14",0.0,0.0,2.856,4.089,61.781,27.357,-0.608,52.215,0.089,0.189,0.148,0.497,35.791,123.799,77.717,124.481,0.711,1.517,"cluster_4"
"71","Meat/Poultry/Fish",5,"13-14",0.0,0.0,1.704,0.386,17.061,10.106,4.12,2.732,0.629,0.554,0.139,0.049,13.3,9.007,50.771,49.838,8.814,6.91,"cluster_9"
"72","Medical Specialities",17,"13-14",0.0,0.0,4.085,4.346,15.912,72.277,-172.473,718.571,0.262,0.441,0.403,0.655,11.342,9.413,50.893,33.383,4.946,6.133,"cluster_9"
"73","Medical/Dental Instruments",14,"13-14",0.0,0.0,3.785,4.592,56.818,10.059,2.749,28.709,0.414,0.692,0.361,0.992,5.248,1.296,73.282,16.671,2.797,3.217,"cluster_4"
"74","Medical/Nursing Services",9,"13-14",0.0,0.0,1.755,0.538,36.118,27.981,4.176,6.73,0.179,0.355,4.251,12.275,24.714,40.477,50.313,49.927,3.832,5.827,"cluster_0"
"75","Metal Fabrications",36,"13-14",0.0,0.0,2.547,1.239,24.608,15.416,4.82,8.678,0.169,0.436,0.123,0.449,5.697,1.833,71.68,26.2,2.352,2.734,"cluster_7"
"76","Military/Government/Technical",18,"13-14",0.0,0.0,1.751,0.565,18.153,12.826,2.079,7.182,0.129,0.352,-0.041,0.648,5.147,2.701,93.808,57.257,1.773,2.681,"cluster_9"
"77","Mining & Quarrying of Nonmetallic Minerals (No Fuels)",11,"13-14",0.0,0.0,3.215,1.057,26.261,9.79,11.027,8.283,0.124,0.095,0.716,1.799,6.451,2.571,64.108,22.147,0.607,0.271,"cluster_7"
"78","Miscellaneous",2,"13-14",0.0,0.0,0.0,0.0,89.878,2.588,-203.64,148.487,0.09,0.048,-0.37,0.359,5.346,3.086,81.927,47.296,0.113,0.032,"cluster_1"
"79","Miscellaneous manufacturing industries",4,"13-14",0.0,0.0,2.056,0.641,32.082,11.985,-1.246,10.288,0.023,0.099,0.023,0.17,6.895,1.612,55.894,16.902,1.025,0.276,"cluster_2"
"80","Motor Vehicles",1,"13-14",0.0,0.0,1.652,0.0,39.182,0.0,13.56,0.0,0.135,0.0,0.29,0.0,2.763,0.0,132.098,0.0,0.654,0.0,"cluster_0"
"81","Movies/Entertainment",7,"13-14",0.0,0.0,1.277,0.936,46.791,11.37,5.364,6.881,0.047,0.079,0.044,0.135,14.212,11.446,74.854,96.14,0.768,0.398,"cluster_3"
"82","Multi-Sector Companies",1,"13-14",0.0,0.0,5.312,0.0,92.691,0.0,21.465,0.0,0.139,0.0,0.121,0.0,5.563,0.0,65.617,0.0,0.484,0.0,"cluster_1"
"83","n/a",384,"13-14",0.0,0.0,1.233,0.697,84.496,21.017,-492.428,1143.917,0.059,0.049,-0.348,0.569,65.889,1066.018,120.565,147.237,0.099,0.187,"cluster_1"
"84","Natural Gas Distribution",54,"13-14",0.0,0.0,1.961,4.528,46.113,31.083,0.629,86.513,0.24,0.291,-0.115,0.978,11.22,6.663,48.512,36.999,2.833,4.683,"cluster_3"
"85","Newspapers/Magazines",10,"13-14",0.0,0.0,1.553,0.639,71.914,23.382,10.214,14.154,0.089,0.124,0.856,2.129,6.311,1.982,64.1,24.579,0.871,0.616,"cluster_6"
"86","Office Equipment/Supplies/Services",9,"13-14",0.0,0.0,1.919,1.352,33.198,10.846,2.689,4.937,0.071,0.092,0.575,1.411,6.709,2.11,62.665,31.366,1.367,0.466,"cluster_2"
"87","Oil & Gas Production",125,"13-14",0.0,0.0,1.353,1.118,70.097,24.147,36.457,239.57,0.737,2.405,1.945,11.571,11.323,34.832,235.999,1792.069,3.64,12.336,"cluster_6"
"88","Oil Refining/Marketing",13,"13-14",0.0,0.0,1.631,0.609,23.827,25.607,9.984,22.724,0.053,0.064,-1.154,3.041,22.108,19.628,29.163,20.639,2.886,2.946,"cluster_7"
"89","Oil/Gas Transmission",12,"13-14",0.0,0.0,0.938,0.363,30.328,14.472,5.57,6.359,0.08,0.251,0.153,0.174,8.725,5.455,59.989,39.357,1.189,1.343,"cluster_2"
"90","Oilfield Services/Equipment",16,"13-14",0.0,0.0,2.675,1.63,28.672,14.597,0.173,27.276,0.16,0.402,0.17,1.371,5.835,2.821,72.066,24.1,1.612,2.368,"cluster_7"
"91","Ophthalmic Goods",1,"13-14",0.0,0.0,1.79,0.0,63.546,0.0,15.71,0.0,0.068,0.0,0.105,0.0,5.427,0.0,67.252,0.0,0.385,0.0,"cluster_6"
"92","Ordnance And Accessories",3,"13-14",0.0,0.0,3.566,1.665,25.06,6.181,5.778,1.731,0.135,0.081,0.112,0.084,6.654,2.516,59.526,18.578,1.347,0.701,"cluster_7"
"93","Other Consumer Services",28,"13-14",0.0,0.0,2.232,2.177,49.06,22.057,3.375,17.397,0.071,0.156,0.061,0.348,18.242,17.967,42.132,33.387,0.95,0.499,"cluster_3"
"94","Other Pharmaceuticals",5,"13-14",0.0,0.0,1.384,0.413,35.199,41.636,3.166,3.354,0.402,0.223,-0.041,0.494,49.158,41.975,12.877,8.686,25.292,23.204,"cluster_0"
"95","Other Specialty Stores",17,"13-14",0.0,0.0,1.734,0.845,33.66,13.637,1.25,12.855,0.069,0.127,-0.524,1.845,48.368,63.015,15.481,10.523,1.36,0.604,"cluster_2"
"96","Package Goods/Cosmetics",12,"13-14",0.0,0.0,1.625,0.772,60.354,29.435,-1.373,32.733,0.621,0.895,0.914,1.653,8.593,3.236,51.155,30.048,4.042,4.63,"cluster_4"
"97","Packaged Foods",19,"13-14",0.0,0.0,1.747,0.839,29.406,16.677,4.598,6.011,0.238,0.269,0.244,0.364,14.535,11.419,34.281,15.311,4.623,7.114,"cluster_2"
"98","Paints/Coatings",5,"13-14",0.0,0.0,1.845,0.679,35.745,7.063,6.983,4.731,0.236,0.383,0.245,0.148,4.742,0.405,77.444,6.979,2.51,3.484,"cluster_0"
"99","Paper",11,"13-14",0.0,0.0,2.266,0.899,20.647,5.987,2.768,5.59,0.087,0.153,0.063,0.134,9.187,2.581,42.385,10.618,1.738,2.252,"cluster_8"
"100","Plastic Products",6,"13-14",0.0,0.0,1.685,0.436,33.588,17.756,4.1,3.866,0.097,0.056,0.174,0.551,7.182,2.18,55.103,18.108,1.066,0.213,"cluster_2"
"101","Pollution Control Equipment",1,"13-14",0.0,0.0,2.01,0.0,35.49,0.0,10.521,0.0,0.191,0.0,0.26,0.0,4.927,0.0,74.085,0.0,1.273,0.0,"cluster_0"
"102","Power Generation",19,"13-14",0.0,0.0,1.105,0.851,34.044,10.374,7.966,5.057,0.836,1.414,0.346,0.406,6.83,1.696,56.882,15.726,4.058,5.681,"cluster_2"
"103","Precious Metals",39,"13-14",0.0,0.0,4.009,6.116,25.807,22.205,-38.44,122.773,0.271,2.041,2.808,11.516,21.151,26.965,38.259,30.771,2.723,7.791,"cluster_7"
"104","Professional Services",17,"13-14",0.0,0.0,1.662,0.652,38.555,25.23,1.235,11.04,0.065,0.115,0.164,0.379,7.129,7.754,73.845,30.689,1.652,0.915,"cluster_0"
"105","Property-Casualty Insurers",51,"13-14",0.0,0.0,0.0,0.0,37.991,20.03,16.31,15.33,0.5,0.957,0.389,1.003,4.187,5.042,196.69,137.458,3.018,5.914,"cluster_0"
"106","Publishing",4,"13-14",0.0,0.0,0.933,0.937,47.577,22.92,8.679,4.605,0.286,0.174,0.33,0.143,8.597,6.964,63.185,51.18,0.876,0.165,"cluster_3"
"107","Radio And Television Broadcasting And Communications Equipment",5,"13-14",0.0,0.0,1.604,1.509,35.247,19.854,1.546,19.083,0.296,0.508,0.941,1.767,8.085,9.414,86.922,53.846,4.38,3.728,"cluster_0"
"108","Railroads",11,"13-14",0.0,0.0,1.344,0.535,56.765,20.677,12.199,12.758,0.626,0.644,0.691,0.882,7.746,2.667,53.318,21.036,2.067,1.731,"cluster_4"
"109","Real Estate",26,"13-14",0.0,0.0,1.699,1.222,69.218,30.701,475.645,2366.172,0.119,0.216,-0.164,0.995,5.312,6.236,19025.754,92646.21,0.485,0.534,"cluster_6"
"110","Real Estate Investment Trusts",177,"13-14",0.0,0.0,1.033,0.786,65.542,27.085,37.622,104.687,0.097,0.191,0.079,0.265,13.177,21.694,1299.43,10051.577,0.303,0.613,"cluster_6"
"111","Recreational Products/Toys",5,"13-14",0.0,0.0,2.526,1.112,39.394,9.741,-10.338,30.374,-0.043,0.285,-0.135,0.52,13.014,11.039,51.334,43.898,1.382,0.396,"cluster_0"
"112","Rental/Leasing Companies",3,"13-14",0.0,0.0,1.595,0.569,54.559,40.862,-2.798,7.337,0.102,0.14,0.016,0.09,7.626,0.718,48.15,4.537,1.839,2.406,"cluster_4"
"113","Restaurants",14,"13-14",0.0,0.0,1.537,1.148,37.377,23.838,5.029,6.565,0.257,0.566,0.18,1.248,162.147,409.182,27.607,46.437,2.669,3.802,"cluster_0"
"114","RETAIL: Building Materials",5,"13-14",0.0,0.0,1.706,1.372,34.521,11.055,-7.703,31.925,0.876,1.162,0.295,0.543,78.797,112.803,28.138,29.51,8.653,9.747,"cluster_2"
"115","Retail: Computer Software & Peripheral Equipment",2,"13-14",0.0,0.0,0.794,0.904,6.838,1.561,0.938,0.514,0.217,0.214,0.087,0.032,7.056,0.773,52.045,5.699,19.583,23.542,"cluster_5"
"116","Savings Institutions",6,"13-14",0.0,0.0,0.0,0.0,93.87,3.707,12.03,13.058,0.077,0.081,0.046,0.055,11.517,4.146,35.339,15.322,0.273,0.193,"cluster_1"
"117","Semiconductors",21,"13-14",0.0,0.0,2.481,2.278,31.97,17.951,-8.539,36.546,0.092,0.563,0.37,2.318,5.754,3.016,82.459,45.745,1.721,2.479,"cluster_2"
"118","Services-Misc. Amusement & Recreation",11,"13-14",0.0,0.0,2.026,2.291,75.983,31.596,5.875,8.056,0.057,0.041,0.07,0.116,23.708,32.545,34.554,24.341,0.584,0.27,"cluster_6"
"119","Shoe Manufacturing",5,"13-14",0.0,0.0,2.388,1.425,43.875,3.825,6.692,3.051,0.492,0.814,0.635,1.085,10.642,4.603,38.195,11.469,4.072,5.655,"cluster_3"
"120","Specialty Chemicals",5,"13-14",0.0,0.0,2.474,1.172,40.611,24.816,7.58,3.698,0.17,0.114,1.114,2.127,8.044,1.937,47.071,9.42,1.301,0.577,"cluster_0"
"121","Specialty Foods",4,"13-14",0.0,0.0,1.988,1.419,32.221,11.667,7.483,5.543,0.235,0.256,0.188,0.27,9.969,1.966,37.984,9.274,2.1,1.36,"cluster_2"
"122","Specialty Insurers",10,"13-14",0.0,0.0,0.0,0.0,89.544,14.146,9.288,3.832,0.383,0.363,0.089,0.172,8.851,6.443,71.306,51.9,3.306,2.519,"cluster_1"
"123","Steel/Iron Ore",18,"13-14",0.0,0.0,2.115,0.843,15.254,10.268,-2.451,16.9,0.189,0.349,1.023,3.738,11.327,9.68,42.612,16.934,3.451,4.396,"cluster_9"
"124","Telecommunications Equipment",60,"13-14",0.0,0.0,1.76,1.658,58.244,21.649,4.191,9.857,0.921,2.166,0.626,2.2,10.552,16.255,59.807,25.246,5.718,12.185,"cluster_4"
"125","Television Services",7,"13-14",0.0,0.0,1.039,0.411,67.653,21.076,13.001,5.555,0.736,0.545,0.32,0.679,10.801,6.43,46.042,26.679,3.294,2.573,"cluster_6"
"126","Textiles",4,"13-14",0.0,0.0,2.524,0.41,27.497,13.921,3.803,3.481,0.108,0.025,0.113,0.027,7.019,1.987,55.74,17.958,1.223,0.496,"cluster_7"
"127","Tools/Hardware",1,"13-14",0.0,0.0,2.058,0.0,35.59,0.0,8.003,0.0,0.228,0.0,0.425,0.0,10.81,0.0,33.764,0.0,1.822,0.0,"cluster_0"
"128","Transportation Services",5,"13-14",0.0,0.0,1.593,1.133,31.127,16.763,-5.081,23.932,-0.033,0.144,0.415,0.815,6.192,2.045,64.695,22.125,0.544,0.275,"cluster_2"
"129","Trucking Freight/Courier Services",5,"13-14",0.0,0.0,1.579,0.892,48.944,23.338,4.956,2.649,0.363,0.585,0.426,0.562,7.222,0.992,51.386,7.72,4.281,6.795,"cluster_3"
"130","Water Supply",7,"13-14",0.0,0.0,1.486,0.894,45.479,23.315,12.573,9.204,0.213,0.237,0.118,0.035,5.399,1.817,74.92,25.903,1.297,1.255,"cluster_3"
"131","Wholesale Distributors",2,"13-14",0.0,0.0,4.557,1.439,21.218,13.638,3.415,5.82,0.051,0.037,0.244,0.199,8.694,7.072,62.748,51.045,2.117,2.199,"cluster_8"
